,symbol
1505,JWSM
1506,JXN
1507,K
1508,KAHC
1509,KAHC.U
1510,KAI
1511,KAII
1512,KAIIU
1513,KAIR
1514,KALU
1515,KALV
1516,KAR
1517,KARO
1518,KBA
1519,KBAL
1520,KBWB
1521,KBWD
1522,KCCA
1523,KCE
1524,KCGI
1525,KCGI.U
1526,KD
1527,KDDIY
1528,KDNY
1529,KDP
1530,KELYA
1531,KEMX
1532,KEN
1533,KEP
1534,KEQU
1535,KEX
1536,KEY
1537,KEYS
1538,KFFB
1539,KFRC
1540,KFY
1541,KGFHY
1542,KHC
1543,KHOLY
1544,KIDS
1545,KIE
1546,KIIIU
1547,KIM
1548,KINS
1549,KKR
1550,KLAC
1551,KLXE
1552,KMB
1553,KMDA
1554,KN
1555,KNBE
1556,KNBWY
1557,KNSA
1558,KNSL
1559,KNX
1560,KOD
1561,KODK
1562,KPTI
1563,KR
1564,KRBN
1565,KRC
1566,KRE
1567,KREF
1568,KRG
1569,KRT
1570,KSI
1571,KT
1572,KTB
1573,KTCC
1574,KTOS
1575,KUBTY
1576,KURA
1577,KURE
1578,KVHI
1579,KWEB
1580,KYMR
1581,KYN
1582,KYOCY
1583,KZR
1584,LABU
1585,LAC
1586,LADR
1587,LAKE
1588,BKU
1589,LAUR
1590,LAW
1591,LAX
1592,LAZ
1593,LAZY
1594,LBAI
1595,LBC
1596,LBPH
1597,LBRDA
1598,LBRDK
1599,LBRT
1600,LBTYA
1601,LBTYK
1602,LC
1603,LCA
1604,LCAA
1605,LCII
1606,LCNB
1607,LCUT
1608,LD
1609,LDOS
1610,LE
1611,LEA
1612,LEAP
1613,LEAP.U
1614,LEE
1615,LEG
1616,LEGA
1617,LEGH
1618,LEGN
1619,LEN
1620,LESL
1621,LEU
1622,LEVI
1623,LFC
1624,LFG
1625,LFST
1626,LFUS
1627,LFVN
1628,LGAC
1629,LGACU
1630,LGF.A
1631,LGF.B
1632,LGIH
1633,LGL
1634,BRMK
1635,BRSP
1636,LGND
1637,A
1638,AAAU
1639,BSJO
1640,LGO
1641,LGST
1642,LGSTU
1643,LGV
1644,LH
1645,LHC
1646,LHCG
1647,ACT
1648,ACVA
1649,ACWV
